Accession	k-means-cluster_(k=4)
CAMPUB_007	4
CAMPUB_008	4
CAMPUB_025	4
CAMPUB_028	4
CAMPUB_029	4
CAMPUB_030	4
CAMPUB_031	3
CAMPUB_033	4
CAMPUB_035	4
CAMPUB_036	4
CAMPUB_038	1
CAMPUB_039	1
CAMPUB_040	4
CAMPUB_041	4
CAMPUB_045	3
CAMPUB_049	1
CAMPUB_052	1
CAMPUB_055	4
CAMPUB_056	4
CAMPUB_057	3
CAMPUB_058	4
CAMPUB_061	2
CAMPUB_063	3
CAMPUB_066	4
CAMPUB_067	4
CAMPUB_068	4
CAMPUB_070	2
CAMPUB_072	4
CAMPUB_073	4
CAMPUB_074	4
CAMPUB_077	3
CAMPUB_078	3
CAMPUB_079	4
CAMPUB_080	2
CAMPUB_081	2
CAMPUB_083	4
CAMPUB_084	2
CAMPUB_085	4
CAMPUB_086	4
CAMPUB_087	4
CAMPUB_088	4
CAMPUB_089	4
CAMPUB_090	4
CAMPUB_091	4
CAMPUB_092	4
CAMPUB_095	4
CAMPUB_096	4
CAMPUB_098	4
CAMPUB_099	4
CAMPUB_101	4
CAMPUB_104	4
CAMPUB_108	4
CAMPUB_110	4
CAMPUB_111	4
CAMPUB_112	4
CAMPUB_114	4
CAMPUB_116	4
CAMPUB_119	4
CAMPUB_120	4
CAMPUB_123	4
CAMPUB_124	4
CAMPUB_131	3
CAMPUB_134	4
CAMPUB_135	4
CAMPUB_136	4
CAMPUB_137	2
CAMPUB_138	4
CAMPUB_145	4
CAMPUB_146	4
CAMPUB_147	4
CAMPUB_148	4
CAMPUB_149	4
CAMPUB_150	2
CAMPUB_151	4
CAMPUB_152	4
CAMPUB_153	2
CAMPUB_154	4
CAMPUB_155	4
CAMPUB_156	4
CAMPUB_157	4
CAMPUB_158	4
CAMPUB_159	4
CAMPUB_160	4
CAMPUB_161	4
CAMPUB_162	3
CAMPUB_164	4
CAMPUB_165	4
CAMPUB_167	2
CAMPUB_168	4
CAMPUB_169	4
CAMPUB_170	4
CAMPUB_171	4
CAMPUB_172	3
CAMPUB_173	4
CAMPUB_174	4
CAMPUB_175	2
CAMPUB_180	4
CAMPUB_182	3
CAMPUB_187	4
CAMPUB_192	4
CAMPUB_193	4
CAMPUB_194	4
CAMPUB_195	4
CAMPUB_196	4
CAMPUB_197	4
CAMPUB_198	4
CAMPUB_199	4
CAMPUB_200	4
CAMPUB_201	4
CAMPUB_203	4
CAMPUB_204	4
CAMPUB_205	4
CAMPUB_206	4
CAMPUB_207	4
CAMPUB_209	4
CAMPUB_210	2
CAMPUB_211	4
CAMPUB_212	4
CAMPUB_214	4
CAMPUB_216	4
CAMPUB_218	4
CAMPUB_219	4
CAMPUB_220	4
CAMPUB_221	3
CAMPUB_223	4
CAMPUB_225	4
CAMPUB_226	4
CAMPUB_228	4
CAMPUB_229	3
CAMPUB_230	4
CAMPUB_231	4
CAMPUB_232	4
CAMPUB_233	3
CAMPUB_234	4
CAMPUB_235	4
CAMPUB_236	3
CAMPUB_237	4
CAMPUB_239	4
CAMPUB_240	3
CAMPUB_241	4
CAMPUB_242	3
CAMPUB_243	4
CAMPUB_244	4
CAMPUB_246	4
CAMPUB_247	4
CAMPUB_248	2
CAMPUB_250	4
CAMPUB_251	2
CAMPUB_252	4
CAMPUB_253	3
CAMPUB_255	4
CAMPUB_256	3
CAMPUB_257	4
CAMPUB_258	4
CAMPUB_259	4
CAMPUB_260	4
CAMPUB_261	4
CAMPUB_262	4
CAMPUB_264	2
CAMPUB_266	4
CAMPUB_268	4
CAMPUB_269	2
CAMPUB_270	4
CAMPUB_271	2
CAMPUB_272	2
CAMPUB_273	4
CAMPUB_276	3
CAMPUB_277	3
CAMPUB_278	4
UNT_001_reseq	4
UNT_002_reseq	4
UNT_003_reseq	4
UNT_004_reseq	4
UNT_005_reseq	4
UNT_006_reseq	4
UNT_007_reseq	4
UNT_008_reseq	4
UNT_009_reseq	4
UNT_010_reseq	3
UNT_011_reseq	4
UNT_012_reseq	4
UNT_013_reseq	4
UNT_014_reseq	4
UNT_015_reseq	4
UNT_016_reseq	4
UNT_017_reseq	4
UNT_018_reseq	4
UNT_019_new	3
UNT_020_new	4
UNT_021_new	4
UNT_022_reseq	4
UNT_023_reseq	4
UNT_024_reseq	4
UNT_025_new	3
UNT_026_reseq	4
UNT_027_new	4
UNT_028_reseq	4
UNT_029_reseq	4
UNT_030_reseq	4
UNT_031_reseq	4
UNT_032_reseq	4
UNT_033_reseq	4
UNT_034_reseq	4
UNT_035_reseq	4
UNT_037_reseq	4
UNT_038_new	4
UNT_039_reseq	4
UNT_040_reseq	4
UNT_042_reseq	4
UNT_043_reseq	4
UNT_044_reseq	4
UNT_045_reseq	4
UNT_046_reseq	4
UNT_047_reseq	4
UNT_050_reseq	4
UNT_052_reseq	4
UNT_053_reseq	4
UNT_054_reseq	4
UNT_055_reseq	4
UNT_056_reseq	4
UNT_057	4
UNT_058_reseq	4
UNT_059_reseq	1
