Accession	k-means-cluster_(k=3)
CAMPUB_007	1
CAMPUB_008	1
CAMPUB_025	1
CAMPUB_028	1
CAMPUB_029	1
CAMPUB_030	1
CAMPUB_031	1
CAMPUB_033	1
CAMPUB_035	1
CAMPUB_036	1
CAMPUB_038	3
CAMPUB_039	3
CAMPUB_040	1
CAMPUB_041	1
CAMPUB_045	1
CAMPUB_049	3
CAMPUB_052	3
CAMPUB_055	1
CAMPUB_056	1
CAMPUB_057	1
CAMPUB_058	1
CAMPUB_061	1
CAMPUB_063	1
CAMPUB_066	1
CAMPUB_067	1
CAMPUB_068	1
CAMPUB_070	1
CAMPUB_072	1
CAMPUB_073	1
CAMPUB_074	1
CAMPUB_077	1
CAMPUB_078	2
CAMPUB_079	1
CAMPUB_080	1
CAMPUB_081	1
CAMPUB_083	1
CAMPUB_084	1
CAMPUB_085	2
CAMPUB_086	1
CAMPUB_087	1
CAMPUB_088	1
CAMPUB_089	1
CAMPUB_090	1
CAMPUB_091	2
CAMPUB_092	1
CAMPUB_095	1
CAMPUB_096	1
CAMPUB_098	1
CAMPUB_099	1
CAMPUB_101	1
CAMPUB_104	1
CAMPUB_108	1
CAMPUB_110	1
CAMPUB_111	1
CAMPUB_112	1
CAMPUB_114	1
CAMPUB_116	2
CAMPUB_119	1
CAMPUB_120	1
CAMPUB_123	1
CAMPUB_124	1
CAMPUB_131	1
CAMPUB_134	1
CAMPUB_135	1
CAMPUB_136	1
CAMPUB_137	1
CAMPUB_138	2
CAMPUB_145	2
CAMPUB_146	1
CAMPUB_147	2
CAMPUB_148	1
CAMPUB_149	2
CAMPUB_150	1
CAMPUB_151	1
CAMPUB_152	1
CAMPUB_153	1
CAMPUB_154	1
CAMPUB_155	1
CAMPUB_156	1
CAMPUB_157	1
CAMPUB_158	1
CAMPUB_159	1
CAMPUB_160	1
CAMPUB_161	2
CAMPUB_162	1
CAMPUB_164	1
CAMPUB_165	1
CAMPUB_167	1
CAMPUB_168	1
CAMPUB_169	1
CAMPUB_170	1
CAMPUB_171	1
CAMPUB_172	1
CAMPUB_173	1
CAMPUB_174	2
CAMPUB_175	1
CAMPUB_180	2
CAMPUB_182	1
CAMPUB_187	1
CAMPUB_192	1
CAMPUB_193	2
CAMPUB_194	2
CAMPUB_195	1
CAMPUB_196	1
CAMPUB_197	1
CAMPUB_198	1
CAMPUB_199	1
CAMPUB_200	1
CAMPUB_201	1
CAMPUB_203	1
CAMPUB_204	1
CAMPUB_205	1
CAMPUB_206	1
CAMPUB_207	1
CAMPUB_209	1
CAMPUB_210	2
CAMPUB_211	1
CAMPUB_212	1
CAMPUB_214	1
CAMPUB_216	1
CAMPUB_218	1
CAMPUB_219	1
CAMPUB_220	1
CAMPUB_221	1
CAMPUB_223	1
CAMPUB_225	1
CAMPUB_226	1
CAMPUB_228	1
CAMPUB_229	1
CAMPUB_230	1
CAMPUB_231	1
CAMPUB_232	1
CAMPUB_233	1
CAMPUB_234	1
CAMPUB_235	1
CAMPUB_236	1
CAMPUB_237	1
CAMPUB_239	1
CAMPUB_240	1
CAMPUB_241	1
CAMPUB_242	1
CAMPUB_243	2
CAMPUB_244	1
CAMPUB_246	1
CAMPUB_247	1
CAMPUB_248	1
CAMPUB_250	1
CAMPUB_251	1
CAMPUB_252	1
CAMPUB_253	1
CAMPUB_255	1
CAMPUB_256	1
CAMPUB_257	1
CAMPUB_258	1
CAMPUB_259	1
CAMPUB_260	1
CAMPUB_261	1
CAMPUB_262	1
CAMPUB_264	1
CAMPUB_266	1
CAMPUB_268	1
CAMPUB_269	1
CAMPUB_270	1
CAMPUB_271	1
CAMPUB_272	1
CAMPUB_273	1
CAMPUB_276	1
CAMPUB_277	1
CAMPUB_278	1
UNT_001_reseq	2
UNT_002_reseq	1
UNT_003_reseq	1
UNT_004_reseq	1
UNT_005_reseq	1
UNT_006_reseq	1
UNT_007_reseq	1
UNT_008_reseq	1
UNT_009_reseq	1
UNT_010_reseq	1
UNT_011_reseq	1
UNT_012_reseq	1
UNT_013_reseq	1
UNT_014_reseq	1
UNT_015_reseq	1
UNT_016_reseq	1
UNT_017_reseq	1
UNT_018_reseq	1
UNT_019_new	1
UNT_020_new	2
UNT_021_new	1
UNT_022_reseq	2
UNT_023_reseq	2
UNT_024_reseq	1
UNT_025_new	1
UNT_026_reseq	1
UNT_027_new	1
UNT_028_reseq	1
UNT_029_reseq	1
UNT_030_reseq	1
UNT_031_reseq	1
UNT_032_reseq	1
UNT_033_reseq	1
UNT_034_reseq	1
UNT_035_reseq	1
UNT_037_reseq	1
UNT_038_new	1
UNT_039_reseq	1
UNT_040_reseq	2
UNT_042_reseq	1
UNT_043_reseq	1
UNT_044_reseq	1
UNT_045_reseq	1
UNT_046_reseq	1
UNT_047_reseq	1
UNT_050_reseq	2
UNT_052_reseq	1
UNT_053_reseq	1
UNT_054_reseq	1
UNT_055_reseq	1
UNT_056_reseq	1
UNT_057	1
UNT_058_reseq	1
UNT_059_reseq	3
