Accession	k-means-cluster_(k=3)
CAMPUB_007	1
CAMPUB_008	1
CAMPUB_025	1
CAMPUB_028	2
CAMPUB_029	2
CAMPUB_030	2
CAMPUB_031	1
CAMPUB_033	2
CAMPUB_035	2
CAMPUB_036	2
CAMPUB_038	3
CAMPUB_039	3
CAMPUB_040	1
CAMPUB_041	1
CAMPUB_045	1
CAMPUB_049	3
CAMPUB_052	3
CAMPUB_055	2
CAMPUB_056	1
CAMPUB_057	1
CAMPUB_058	1
CAMPUB_061	2
CAMPUB_063	1
CAMPUB_066	2
CAMPUB_067	2
CAMPUB_068	1
CAMPUB_070	2
CAMPUB_072	2
CAMPUB_073	2
CAMPUB_074	2
CAMPUB_077	1
CAMPUB_078	1
CAMPUB_079	2
CAMPUB_080	1
CAMPUB_081	2
CAMPUB_083	2
CAMPUB_084	2
CAMPUB_085	1
CAMPUB_086	2
CAMPUB_087	1
CAMPUB_088	2
CAMPUB_089	2
CAMPUB_090	1
CAMPUB_091	1
CAMPUB_092	2
CAMPUB_095	2
CAMPUB_096	1
CAMPUB_098	2
CAMPUB_099	2
CAMPUB_101	2
CAMPUB_104	2
CAMPUB_108	2
CAMPUB_110	2
CAMPUB_111	1
CAMPUB_112	2
CAMPUB_114	2
CAMPUB_116	1
CAMPUB_119	2
CAMPUB_120	1
CAMPUB_123	2
CAMPUB_124	1
CAMPUB_131	1
CAMPUB_134	2
CAMPUB_135	2
CAMPUB_136	1
CAMPUB_137	2
CAMPUB_138	1
CAMPUB_145	1
CAMPUB_146	1
CAMPUB_147	1
CAMPUB_148	2
CAMPUB_149	1
CAMPUB_150	2
CAMPUB_151	1
CAMPUB_152	2
CAMPUB_153	2
CAMPUB_154	2
CAMPUB_155	2
CAMPUB_156	1
CAMPUB_157	2
CAMPUB_158	1
CAMPUB_159	1
CAMPUB_160	1
CAMPUB_161	1
CAMPUB_162	1
CAMPUB_164	2
CAMPUB_165	2
CAMPUB_167	1
CAMPUB_168	2
CAMPUB_169	2
CAMPUB_170	2
CAMPUB_171	2
CAMPUB_172	1
CAMPUB_173	2
CAMPUB_174	1
CAMPUB_175	2
CAMPUB_180	1
CAMPUB_182	1
CAMPUB_187	2
CAMPUB_192	1
CAMPUB_193	1
CAMPUB_194	1
CAMPUB_195	1
CAMPUB_196	2
CAMPUB_197	1
CAMPUB_198	1
CAMPUB_199	2
CAMPUB_200	2
CAMPUB_201	1
CAMPUB_203	2
CAMPUB_204	1
CAMPUB_205	1
CAMPUB_206	1
CAMPUB_207	2
CAMPUB_209	2
CAMPUB_210	2
CAMPUB_211	1
CAMPUB_212	1
CAMPUB_214	1
CAMPUB_216	2
CAMPUB_218	1
CAMPUB_219	1
CAMPUB_220	1
CAMPUB_221	1
CAMPUB_223	1
CAMPUB_225	1
CAMPUB_226	2
CAMPUB_228	2
CAMPUB_229	1
CAMPUB_230	1
CAMPUB_231	2
CAMPUB_232	2
CAMPUB_233	1
CAMPUB_234	2
CAMPUB_235	2
CAMPUB_236	1
CAMPUB_237	2
CAMPUB_239	2
CAMPUB_240	1
CAMPUB_241	2
CAMPUB_242	1
CAMPUB_243	1
CAMPUB_244	1
CAMPUB_246	1
CAMPUB_247	1
CAMPUB_248	2
CAMPUB_250	1
CAMPUB_251	2
CAMPUB_252	1
CAMPUB_253	1
CAMPUB_255	1
CAMPUB_256	1
CAMPUB_257	2
CAMPUB_258	1
CAMPUB_259	2
CAMPUB_260	2
CAMPUB_261	2
CAMPUB_262	1
CAMPUB_264	2
CAMPUB_266	2
CAMPUB_268	2
CAMPUB_269	2
CAMPUB_270	2
CAMPUB_271	2
CAMPUB_272	2
CAMPUB_273	2
CAMPUB_276	1
CAMPUB_277	1
CAMPUB_278	1
UNT_001_reseq	1
UNT_002_reseq	2
UNT_003_reseq	2
UNT_004_reseq	2
UNT_005_reseq	2
UNT_006_reseq	2
UNT_007_reseq	2
UNT_008_reseq	2
UNT_009_reseq	2
UNT_010_reseq	1
UNT_011_reseq	2
UNT_012_reseq	2
UNT_013_reseq	2
UNT_014_reseq	2
UNT_015_reseq	2
UNT_016_reseq	2
UNT_017_reseq	2
UNT_018_reseq	2
UNT_019_new	1
UNT_020_new	1
UNT_021_new	2
UNT_022_reseq	1
UNT_023_reseq	1
UNT_024_reseq	1
UNT_025_new	1
UNT_026_reseq	2
UNT_027_new	1
UNT_028_reseq	1
UNT_029_reseq	1
UNT_030_reseq	2
UNT_031_reseq	2
UNT_032_reseq	2
UNT_033_reseq	2
UNT_034_reseq	2
UNT_035_reseq	2
UNT_037_reseq	2
UNT_038_new	2
UNT_039_reseq	2
UNT_040_reseq	1
UNT_042_reseq	2
UNT_043_reseq	1
UNT_044_reseq	2
UNT_045_reseq	1
UNT_046_reseq	2
UNT_047_reseq	2
UNT_050_reseq	1
UNT_052_reseq	2
UNT_053_reseq	1
UNT_054_reseq	2
UNT_055_reseq	1
UNT_056_reseq	2
UNT_057	1
UNT_058_reseq	2
UNT_059_reseq	3
